id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tipe_roda_kendaraan,jumlah_kendaraan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,RODA 2,1404250,UNIT,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,RODA 4,204207,UNIT,2018
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RODA 2,477197,UNIT,2018
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RODA 4,55476,UNIT,2018
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RODA 2,396361,UNIT,2018
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RODA 4,52051,UNIT,2018
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RODA 2,957797,UNIT,2018
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RODA 4,146467,UNIT,2018
9,32,JAWA BARAT,3205,KABUPATEN GARUT,RODA 2,383640,UNIT,2018
10,32,JAWA BARAT,3205,KABUPATEN GARUT,RODA 4,43927,UNIT,2018
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RODA 2,269156,UNIT,2018
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RODA 4,29107,UNIT,2018
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RODA 2,253985,UNIT,2018
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RODA 4,31415,UNIT,2018
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RODA 2,298289,UNIT,2018
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RODA 4,33660,UNIT,2018
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,RODA 2,637341,UNIT,2018
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,RODA 4,70493,UNIT,2018
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RODA 2,335874,UNIT,2018
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RODA 4,34222,UNIT,2018
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RODA 2,276252,UNIT,2018
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RODA 4,30409,UNIT,2018
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RODA 2,485536,UNIT,2018
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RODA 4,46470,UNIT,2018
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,RODA 2,413042,UNIT,2018
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,RODA 4,36600,UNIT,2018
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RODA 2,275711,UNIT,2018
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RODA 4,37879,UNIT,2018
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RODA 2,755961,UNIT,2018
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RODA 4,107577,UNIT,2018
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,RODA 2,1261729,UNIT,2018
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,RODA 4,254355,UNIT,2018
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RODA 2,540658,UNIT,2018
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RODA 4,85316,UNIT,2018
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RODA 2,82786,UNIT,2018
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RODA 4,9166,UNIT,2018
37,32,JAWA BARAT,3271,KOTA BOGOR,RODA 2,373434,UNIT,2018
38,32,JAWA BARAT,3271,KOTA BOGOR,RODA 4,105446,UNIT,2018
39,32,JAWA BARAT,3272,KOTA SUKABUMI,RODA 2,100486,UNIT,2018
40,32,JAWA BARAT,3272,KOTA SUKABUMI,RODA 4,25841,UNIT,2018
41,32,JAWA BARAT,3273,KOTA BANDUNG,RODA 2,1256057,UNIT,2018
42,32,JAWA BARAT,3273,KOTA BANDUNG,RODA 4,482615,UNIT,2018
43,32,JAWA BARAT,3274,KOTA CIREBON,RODA 2,142467,UNIT,2018
44,32,JAWA BARAT,3274,KOTA CIREBON,RODA 4,46166,UNIT,2018
45,32,JAWA BARAT,3275,KOTA BEKASI,RODA 2,1250955,UNIT,2018
46,32,JAWA BARAT,3275,KOTA BEKASI,RODA 4,358486,UNIT,2018
47,32,JAWA BARAT,3276,KOTA DEPOK,RODA 2,966451,UNIT,2018
48,32,JAWA BARAT,3276,KOTA DEPOK,RODA 4,210223,UNIT,2018
49,32,JAWA BARAT,3277,KOTA CIMAHI,RODA 2,260741,UNIT,2018
50,32,JAWA BARAT,3277,KOTA CIMAHI,RODA 4,55184,UNIT,2018
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RODA 2,207147,UNIT,2018
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RODA 4,39698,UNIT,2018
53,32,JAWA BARAT,3279,KOTA BANJAR,RODA 2,62997,UNIT,2018
54,32,JAWA BARAT,3279,KOTA BANJAR,RODA 4,7387,UNIT,2018
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,RODA 2,1451061,UNIT,2019
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,RODA 4,217001,UNIT,2019
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RODA 2,492193,UNIT,2019
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RODA 4,59052,UNIT,2019
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RODA 2,410734,UNIT,2019
